id,firm,email,email_type,verification_status,conversion_estimate,score,outreach_mode,harsh_free_pilot_acceptance_pct,harsh_paid_conversation_pct,subject,personalization_hook,source
L-0266,Legionella & Fire Safe Services,info@legionellaandfiresafe.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,"Requirement checks for fire safety, fire doors, fire stopping, compartmentation and compliance bids","high-rise social housing, housing associations, local authorities, fire stopping, fire doors and compartmentation",https://legionellaandfiresafe.co.uk/building-trust-in-high-rise-social-housing-key-insights-on-soil-vent-replacement-and-fire-safety/
L-0288,DKJ Support Services,info@dkjsupportservices.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,Bidframe for healthcare bid management tender reviews,Healthcare bid management and writing; wins healthcare contracts for clients,https://dkjsupportservices.co.uk/bid-management-writing-health-and-social-care/
L-0289,JGP Consultancy,info@jgpconsultancy.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,Faster first read on tender finder tenders,Social value bid response guidance; tender finder consultants for SMEs,https://jgpconsultancy.co.uk/2021/10/how-to-write-the-perfect-social-value-response-in-a-bid/
L-0290,Policy Pros,contact@policypros.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,Requirement checks for tender evidence bids,"Public tender support, bid response narratives, social value, carbon reduction plans, policy evidence",https://www.policypros.co.uk/tender-and-request-for-proposal-support/; https://uk.linkedin.com/company/project-analysis-uk-limited
L-0311,Targeted Provision,contact@targetedprovision.com,domain,verified,High,138,paid_later,0.00%,0.30%,Requirement checks for trauma-informed AP bids,"Alternative provision for SEND, SEMH, LAC; LA/SEND commissioner testimonials",https://www.targetedprovision.com/; https://uk.linkedin.com/company/targeted-provision
L-0001,Tsaks Consulting,info@tsaksconsulting.com,domain,verified,High,136,paid_later,0.00%,0.30%,Faster first read on consultancy tenders,Only consultancy with a public email; decides fast; bids daily,https://tsaksconsulting.com/our-director-jason-cooney/
L-0003,Thornton & Lowe,hello@thorntonandlowe.com,domain,verified,High,136,paid_later,0.00%,0.30%,Bidframe for consultancy tender reviews,"Public email confirmed; largest UK SME consultancy - headline-quote target, reachable now",thorntonandlowe.com/contact
L-0011,Think Tenders,amanda@thinktenders.co.uk,domain,verified,High,136,paid_later,0.00%,0.30%,Requirement checks for consultancy bids,"Founder-direct email confirmed - best kind of inbox; freelance, fast personal reply",thinktenders.co.uk/contact
L-0104,UK Bid Writer,lyndsey@ukbidwriter.com,domain,verified,High,136,paid_later,0.00%,0.30%,Requirement checks for consultancy bids,"Founder-direct email (best inbox); small/solo SME-tendering specialist, decides fast",https://ukbidwriter.com/contact
L-0359,Nationwide Lift Services,info@nationwideliftservices.co.uk,generic,verified,High,136,paid_later,0.00%,0.30%,Requirement checks for lift maintenance and modernisation bids,Supports education and local authorities with compliant lift servicing,nationwideliftservices.co.uk
L-0370,Crucial Engineering,enquiries@crucialengineering.co.uk,generic,verified,High,136,paid_later,0.00%,0.30%,Faster first read on automatic gates and barriers tenders,Education sector and BS EN 12453 gate compliance and maintenance,crucialengineering.co.uk/automatic-gates; crucialengineering.co.uk
L-0163,Sportsafe UK Ltd,sales@sportsafeuk.com,domain,partial,High,134,paid_later,0.00%,0.30%,Faster first read on sports tenders,"schools, MATs, universities, leisure centres, councils, Fire, Police and NHS authorities",https://sportsafeuk.com/contact-us/; https://sportsafeuk.com/; https://uk.linkedin.com/company/sportsafe-uk-ltd; https://sapca.org.uk/members/sportsafe-uk-ltd/
L-0169,Alliance Asbestos Services Ltd,enquiries@alliance-asbestos-services.co.uk,domain,partial,High,134,paid_later,0.00%,0.30%,Faster first read on asbestos survey tenders,"universities, local authorities and health authorities asbestos services",https://www.alliance-asbestos-services.co.uk/; https://find-and-update.company-information.service.gov.uk/company/06485812; https://uk.linkedin.com/in/darren-pritchard-6a34501bb
L-0170,AIB Solutions Ltd,info@aibsolutions.co.uk,domain,partial,High,134,paid_later,0.00%,0.30%,Requirement checks for HSE-licensed asbestos removal bids,"public authorities including schools, libraries, leisure facilities and housing blocks",https://www.aib-asbestosremoval.co.uk/; https://www.aib-asbestosremoval.co.uk/public-authorities-asbestos-services; https://uk.linkedin.com/company/aib-solutions
L-0181,Justice Fire & Security,info@justicesecurity.co.uk,domain,partial,High,134,paid_later,0.00%,0.30%,Faster first read on fire alarms tenders,"BAFE SP203-1 / NSI Fire Gold; hospital, schools, Job Centres and local-authority case studies",https://www.justicesecurity.co.uk/bafe; https://www.justicesecurity.co.uk/; https://uk.linkedin.com/company/justice-fire-%26-security
L-0182,ARTICO Enabling Services Ltd,info@articoenv.com,domain,partial,High,134,paid_later,0.00%,0.30%,Requirement checks for licensed asbestos removal bids,long-term national frameworks with local authorities and housing associations for asbestos removal,https://www.articoenv.com/news/v/36-artico-obtain-arca-membership/; https://www.articoenv.com/services/asbestos-removal/; https://www.articoenv.com/contact/
L-0101,Bid & Tender Support,info@bidandtendersupport.co.uk,domain,verified,High,128,paid_later,0.00%,0.20%,Requirement checks for consultancy bids,"Small bid consultancy with public email; bids daily, decides fast",https://bidandtendersupport.co.uk
L-0212,Bid Perfect,enquiries@bidperfect.com,domain,verified,High,128,paid_later,0.00%,0.20%,Requirement checks for consultancy bids,Bid consultancy with public email; recurring tender workflow and likely fast validation,https://www.bidperfect.com/contact-us/
L-0155,Acme Bus Co. Ltd,enquiries@acme-bus.com,domain,partial,High,126,paid_later,0.00%,0.20%,Requirement checks for school transport bids,"home-to-school transport for Cambridge, Essex and Hertfordshire schools",https://acme-bus.com/getting-to-school/; https://acme-bus.com/contact-2/
L-0162,Setter Play,info@setterplay.co.uk,domain,partial,High,126,paid_later,0.00%,0.20%,Bidframe for playground tender reviews,school and local-authority playground equipment design and installation,https://www.setterplay.co.uk/contact/; https://www.setterplay.co.uk/; https://uk.linkedin.com/company/setter-play
L-0172,Arrival Lifts Ltd,enquiries@arrivallifts.com,domain,partial,High,126,paid_later,0.00%,0.20%,Faster first read on lift maintenance tenders,"school lift installation, servicing, DDA compliance and healthcare/commercial lift services",https://www.arrival-lifts.co.uk/contact; https://www.arrival-lifts.co.uk/commercial/lifts-for-schools; https://www.arrival-lifts.co.uk/about; https://uk.linkedin.com/company/arrival-lifts-limited
L-0180,Reef Water Solutions Ltd,stevet@reefwater.co.uk,domain,partial,High,126,paid_later,0.00%,0.20%,Bidframe for water hygiene tender reviews,"FM, housing, local authority, education and healthcare water hygiene sectors",https://www.legionellacontrol.org.uk/company/?name=Reef+Water+Solutions+Ltd; https://www.reefwater.co.uk/
L-0134,My World Therapy,info@myworldtherapy.co.uk,domain,verified,Medium,118,paid_later,0.00%,0.20%,Requirement checks for ot bids,school/LA/NHS paediatric OT + EHCP contracts,https://myworldtherapy.co.uk
L-0164,Blackwell Associates Limited,enquiries@blackwellassociates.co.uk,domain,verified,Medium,118,paid_later,0.00%,0.20%,Requirement checks for occupational health bids,"NHS, education and local authority occupational health experience",https://www.blackwellassociates.co.uk/
L-0207,AAC Roadmarkings Ltd,enquiries@aac-roadmarkings.co.uk,domain,verified,Medium,118,paid_later,0.00%,0.20%,Bidframe for line marking tender reviews,school playground markings and public-sector clients across England and Wales,https://aacroadmarkingsltd.co.uk/school-markings/
L-0284,Maximum Climate Control Ltd,sales@maximumair.co.uk,domain,verified,Medium,118,paid_later,0.00%,0.20%,"Requirement checks for HVAC, air conditioning, TM44, F-Gas and ventilation bids","schools, care/medical institutions, TM44 inspections and F-Gas certified engineers",https://maximumair.co.uk/; https://maximumair.co.uk/about-us/; https://www.linkedin.com/company/maximum-climate-control-ltd
L-0294,eXceeding Limited,tenders@exceeding.uk.com,domain,verified,Medium,118,paid_later,0.00%,0.20%,Bidframe for procurement consultancy tender reviews,G-Cloud tender consultancy and public-sector procurement service,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/617487890125325
L-0305,Fibre Safe Ltd,sales@fibresafe.com,domain,verified,Medium,118,paid_later,0.00%,0.20%,Requirement checks for asbestos surveys bids,"School asbestos surveys, management plans, registers, monitoring; schools/universities/colleges",https://fibresafe.com/asbestos-management-in-schools/
L-0267,LFS Fire,karl@lfsfire.co.uk,named,verified,Medium,116,paid_later,0.00%,0.20%,"Bidframe for passive fire, fire stopping, fire doors and compartmentation tender reviews","social housing, housing associations, local authorities, education, healthcare and FIRAS",https://lfsfire.co.uk/contact/; https://lfsfire.co.uk/social-housing/
L-0327,Riggott & Co Ltd,webenquiries@riggott.co.uk,team,verified,Medium,116,paid_later,0.00%,0.20%,Bidframe for line marking tender reviews,Brochure references councils; services map to public highways and estate tenders,riggott.co.uk/contact; riggott.co.uk/services
L-0344,Snape Contracting Services,enquiries.scs@snapegroup.co.uk,team,verified,Medium,116,paid_later,0.00%,0.20%,Requirement checks for minor works and maintenance bids,"School, town hall, council and public-building project signals",snapecontracting.co.uk; linkedin.com/company/snape-contracting; quolux.com/lead-companies/snape-contracting
L-0348,Elementary Technology,enquiries@elementaryuk.com,team,verified,Medium,116,paid_later,0.00%,0.20%,Bidframe for school AV and edtech tender reviews,Local-authority services page and RM6103 education technology framework signal,elementaryuk.com/contact-us; elementaryuk.com/who-we-help/local-authorities; elementaryuk.com/who-we-are/our-company
L-0382,Parr FM,nhsenquiries@parr-fm.com,team,verified,Medium,116,paid_later,0.00%,0.20%,Faster first read on hard FM and M&E tenders,NHS SBS Hard FM Framework with dedicated NHS enquiries route,parr-fm.com/nhs-sbs-framework
L-0005,BFT Consult,info@bftconsult.com,domain,partial,High,114,paid_later,0.00%,0.20%,Requirement checks for consultancy bids,Public email confirmed; H&SC specialist - pair with a care-framework ITT,bftconsult.com/contact
L-0004,Executive Compass,info@executivecompass.co.uk,domain,partial,High,110,paid_later,0.00%,0.20%,Faster first read on consultancy tenders,Public email confirmed; auditability/social-value angle fits; reachable now,executivecompass.co.uk/contact
L-0016,BidRight UK,info@bidrightuk.co.uk,domain,partial,High,110,paid_later,0.00%,0.20%,Faster first read on consultancy tenders,"Public email confirmed; H&SC/education/training focus, SME-aligned",bidrightuk.co.uk/contact
L-0027,Classroom365,info@classroom365.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for it-msp tender reviews,academy-trust/MAT ICT managed service,classroom365.co.uk/contact
L-0105,Clean4Shaw,sales@clean4shaw.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for cleaning tender reviews,school/council cleaning contracts,https://clean4shaw.com
L-0106,ProKleen UK,info@prokleenuk.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on cleaning tenders,school/academy cleaning contracts,https://prokleenuk.com
L-0107,Ever Brite Cleaning,enquiry@everbritecleaning.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for cleaning bids,school/education cleaning + grounds contracts,https://everbritecleaning.co.uk
L-0108,Paul Tootill Landscaping,enquiries@paultootilllandscaping.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for grounds tender reviews,school grounds maintenance contracts,https://paultootilllandscaping.co.uk/contact
L-0109,N J Pacey Landscaping,enquiry@njpaceylandscaping.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on grounds tenders,school grounds maintenance contracts,https://njpaceylandscaping.co.uk
L-0110,Alben Landscapes,info@albenlandscapes.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for grounds bids,school grounds maintenance contracts,https://albenlandscapes.co.uk
L-0112,Independent Catering,info@independentcatering.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on catering tenders,state school meals contracts,https://independentcatering.co.uk
L-0113,Independent Fire Risk Assessments,info@independent-fras.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for fire-safety bids,school/education fire-risk-assessment contracts,https://independent-fras.co.uk
L-0114,MD Fire,info@mdfire.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for fire-safety tender reviews,school/education fire-risk-assessment contracts,https://mdfire.co.uk
L-0115,DRE Pest Control,info@drepestcontrol.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on pest-control tenders,council/school pest-control contracts,https://drepestcontrol.co.uk/services/contracts
L-0116,ROCMEP,hello@rocmep.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for building-maintenance bids,school/academy M&E contracts,https://rocmep.co.uk/contact
L-0120,Learning Hive,info@learninghive.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for send-ap tender reviews,LA alternative-provision / SEND tuition contracts,https://learninghive.co.uk/alternative-provision
L-0123,Golden Circle Tutors,contactus@goldencircletutors.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for send-ap tender reviews,LA-funded EHCP/EOTAS tuition contracts,https://goldencircletutors.co.uk/local-authority-funded-home-schooling-for-students-with-ehcps
L-0126,Bright Heart Education,hello@brightheart.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for send-ap tender reviews,LA alternative-provision / EHCP tuition contracts,https://brightheart.co.uk
L-0127,London Speech Therapy,enquiries@londonspeechtherapy.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on slt tenders,school/LA speech-&-language-therapy + EHCP contracts,https://londonspeechtherapy.co.uk/services/local-education-authority-service
L-0128,West Midlands Speech & Language Therapy,office@wmspeechtherapy.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for slt bids,school/LA SLT + EHCP contracts,https://wmspeechtherapy.co.uk
L-0138,SLT for Kids,office@sltforkids.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for slt tender reviews,school SLT contracts (Element/pupil premium/LAC funded),https://sltforkids.co.uk/school-and-education-setting
L-0142,Reflective Source,sales@reflectivesource.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on translation tenders,council/NHS/court/school translation & interpreting contracts,https://reflectivesource.co.uk/translation-service/public-sector-translation
L-0157,Flagfinders CTB Ltd,enquiries@flagfinders.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on school coach routes tenders,school routes linked to Essex County Council entitlement and academy/school routes,https://www.flagfinders.com/services/school-services-timetables.htm; https://www.flagfinders.com/contact-us.htm
L-0176,Kings Fire Ltd,info@kingsfire.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for fire alarm servicing bids,"school fire alarm servicing plus universities, NHS trusts, schools and academies",https://www.kingsfire.co.uk/contact-kings-fire-ltd/; https://www.kingsfire.co.uk/fire-alarm-servicing-for-schools/; https://www.kingsfire.co.uk/about/; https://uk.linkedin.com/company/kings-fire-ltd
L-0177,Allium Environmental Ltd,enquiries@allium.uk.net,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for asbestos surveys tender reviews,"schools/education asbestos surveys, asbestos management and air testing; housing stock works signal",https://allium.uk.net/contact/; https://allium.uk.net/sectors/schools-education/; https://uk.linkedin.com/company/allium-environmental-ltd
L-0178,Newgate (Newark) Ltd,sales@newgate.uk.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on automatic gates tenders,"school security gates/barriers for primary schools, universities and council parks sectors",https://www.newgate.uk.com/sectors/school-security-gates/; https://www.newgate.uk.com/contact-us/; https://uk.linkedin.com/company/newgate-newark-limited
L-0186,Scope Fire & Security Ltd,service@scopefireandsecurity.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for fire alarms tender reviews,"BAFE SP203-1 fire alarms, SP205 fire risk assessments, SP101 extinguishers and emergency lighting credentials",https://scopefireandsecurity.co.uk/bafe-registered/; https://scopefireandsecurity.co.uk/contact/
L-0188,Country Gates and Barriers Ltd,sales@countrygates.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,"Requirement checks for automated gates, vehicle barriers, access control and perimeter security bids","commercial perimeter security, vehicle barriers, access control, service/maintenance, CHAS and Constructionline",https://www.dhfonline.org.uk/enquiry.htm?id=7&ref=1030; https://countrygatesandbarriers.co.uk/contact-country-gates-and-barriers/; https://uk.linkedin.com/company/countrygates
L-0189,Logical Drainage Solutions Ltd,info@logicaldrainagesolutions.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,"Bidframe for commercial drainage, CCTV, tankering and pump servicing tender reviews","commercial pump servicing, planned maintenance, CCTV drainage and compliance-maintenance accreditation signals",https://nadc.org.uk/; https://logicaldrainagesolutions.co.uk/services/pump-servicing-and-repairs; https://logicaldrainagesolutions.co.uk/essex-drainage-services; https://uk.linkedin.com/company/logical-drainage-solutions-ltd
L-0206,Extract Compliance Ltd,info@extractcompliance.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,"Requirement checks for TR19 kitchen extraction cleaning, duct cleaning and ventilation hygiene bids","TR19 kitchen extraction/duct cleaning for care homes, schools and commercial kitchens; compliance reporting",https://extractcompliance.com/; https://extractcompliance.com/contact-us/; https://uk.linkedin.com/company/extract-compliance-tr19-ductwork-cleaning
L-0215,Language Empire,bookings@empire-groupuk.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for translation and interpreting bids,public-sector language/interpreting procurement seam,https://www.language-empire.co.uk/contact-us/
L-0216,Cintra Language Services Group,cintra@cintra.org.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for translation and interpreting tender reviews,public-sector language/interpreting procurement seam,https://www.cintra.org.uk/
L-0217,AWA Tree Consultants,info@awatrees.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on arboriculture tenders,"tree surveys, planning and local-authority arboriculture requirements",https://www.awatrees.com/contact/; https://www.awatrees.com/
L-0218,Mastered,hello@mastered.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for training bids,DfE-funded skills bootcamps / training procurement seam,https://www.mastered.com/contact/; https://www.mastered.com/
L-0234,Nu Electrics Ltd,info@nuelectrics.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,"Bidframe for EV charging, LED upgrades and commercial electrical tender reviews","public-sector EV charging page for schools, councils, NHS trusts and housing associations; tender/grant support",https://www.nuelectrics.com/public-sector; https://uk.linkedin.com/company/nu-electrics-ltd
L-0235,Ineco Energy,info@inecoenergy.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on commercial tenders,Coventry City Council solar PV programme evidence; schools/commercial solar positioning,https://www.coventry.gov.uk/downloads/file/40077/solar-pv-challenges-angus-rose; https://uk.linkedin.com/company/inecoenergy
L-0253,Acclaim Contracts Ltd,info@acclaimcontracts.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,"Faster first read on roofing, building repairs and public-sector building maintenance tenders","schools, hospitals, local authority, councils and LHC framework proof",https://www.acclaimcontracts.co.uk/; https://www.lrwa.org.uk/; https://www.acclaimcontracts.co.uk/accreditations/; https://www.lhcprocure.org.uk/; https://uk.linkedin.com/company/acclaim-contracts-limited
L-0260,System Hygienics,info@systemhygienics.co.uk,domain,verified with ownership caveat,Medium,110,paid_later,0.00%,0.20%,"Requirement checks for ventilation hygiene, duct cleaning, fire damper testing and IAQ compliance bids","NHS, education, schools, universities, fire dampers, BESA TR19, IAQ and Complete Ventilation Compliance package",https://www.systemhygienics.co.uk/contact/; https://www.systemhygienics.co.uk/industries; https://uk.linkedin.com/company/system-hygienics-ltd
L-0268,ATOL Construction,hello@atolconstruction.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,"Faster first read on fire barriers, fire stopping and educational facilities tenders","schools, education estates, healthcare, social housing, fire barriers and fire stopping",https://atolconstruction.co.uk/effective-fire-barriers-educational-facilities/
L-0292,Infinity Business Consultancy,info@infinitybusinessconsultancy.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on healthcare tender writing tenders,"Tender writing, tender sourcing, healthcare procurement, NHS/private providers",https://www.infinitybusinessconsultancy.com/services/tender-writing
L-0303,uRisk Ltd,contact@urisk.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for water hygiene tender reviews,Dedicated councils/government legionella risk page,https://www.urisk.co.uk/legionella-services/council-and-government-legionella-risks/; https://www.urisk.co.uk/contact-us/
L-0304,DACT Contractors Ltd,sales@dactcontractors.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on asbestos removal tenders,Asbestos management for schools and colleges,https://www.dactcontractors.com/management-of-asbestos-in-schools/
L-0306,Wilson Washroom Services Ltd,info@wilsonwashrooms.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for washroom tender reviews,"Schools, colleges, universities and public buildings period-product/washroom provision",https://www.wilsonwashrooms.com/free-period-products-england/
L-0307,The Gate Co.,info@thegateco.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Faster first read on school gates tenders,"School gates installation, repair and maintenance",https://thegateco.co.uk/school-gates; https://thegateco.co.uk/contact
L-0318,Spaceforme,sales@spaceforme.co.uk,domain,verified,Medium,110,paid_later,0.00%,0.20%,Bidframe for classroom tender reviews,Classroom furniture for schools and education environments,https://www.spaceforme.com/contact; https://www.spaceforme.com/; https://www.spaceforme.com/working-with-us
L-0320,Trutex,preis@trutex.com,domain,verified,Medium,110,paid_later,0.00%,0.20%,Requirement checks for school uniform bids,School uniform supply to academies/trusts,https://www.trutex.com/school-uniform-supply; https://uk.linkedin.com/company/trutex-ltd; https://www.trutex.com/about-trutex
L-0132,Aspire Educational Psychology Services,contactus@aspire-ep.co.uk,domain,verified,Medium,108,paid_later,0.00%,0.20%,Bidframe for ed-psych tender reviews,school/LA educational-psychology + EHCP assessment contracts,https://aspire-ep.co.uk
L-0136,My Children's Therapy,contact@mychildrenstherapy.co.uk,domain,verified,Medium,108,paid_later,0.00%,0.20%,Faster first read on ot tenders,school EHCP occupational-therapy contracts,https://mychildrenstherapy.co.uk/services-for-schools
L-0208,Sanaway Ltd,info@sanaway.co.uk,domain,verified,Medium,108,paid_later,0.00%,0.20%,Faster first read on washroom services tenders,"school testimonial signal, DBS-cleared staff, washroom/feminine hygiene plus sharps and clinical waste services",https://www.sanaway.co.uk/contact/; https://www.sanaway.co.uk/washroom-services/feminine-hygiene/; https://www.sanaway.co.uk/
L-0236,Infinity Energy Services Ltd,info@infinity-energy.co.uk,domain,verified,Medium,108,paid_later,0.00%,0.20%,"Requirement checks for solar PV, battery, heat pumps and EV charging bids","public-sector solar/battery/EV pages; MCS, NAPIT, CHAS, TrustMark and NICEIC badges",https://www.infinity-energy.co.uk/public-sector/ev-chargers/; https://uk.trustpilot.com/review/www.infinity-energy.co.uk; https://uk.linkedin.com/company/infinity-energy-services-ltd
L-0332,Integrated Water Services / IWS Water Hygiene,contact@integrated-water.co.uk,generic,verified,Medium,108,paid_later,0.00%,0.20%,Requirement checks for water hygiene bids,Case study for a UK county council legionella management plan,integrated-water.co.uk/wh-case-study/commissioned-by-a-uk-county-council-to-implement-a-legionella-management-plan
L-0341,RE:GEN Group,info@regen-group.co.uk,generic,verified,Medium,108,paid_later,0.00%,0.20%,Requirement checks for social housing retrofit bids,Won GBP3.2m Darlington Borough Council energy-efficiency contract,regen-group.co.uk/news/second-contract-with-darlington-borough-council-to-upgrade-130-homes
L-0354,Althaus Digital,info@althausdigital.co.uk,generic,verified,Medium,108,paid_later,0.00%,0.20%,Bidframe for digital apprenticeships tender reviews,DfE/ESFA training provider listing and local council career provider page,althausdigital.co.uk; findapprenticeshiptraining.apprenticeships.education.gov.uk/providers/10031131; ashfield.gov.uk/jobs-training-and-careers/career-boost
L-0355,Envirocloud,info@envirocloud.co.uk,generic,verified,Medium,108,paid_later,0.00%,0.20%,Faster first read on water hygiene consultancy tenders,Dedicated public-sector water hygiene page; healthcare and public-estate compliance fit,envirocloud.co.uk/public-sector; envirocloud.co.uk/about-us; iheem.org.uk/affiliate-members/company/envirocloud-ltd
L-0362,Absolute Water Compliance,support@absolute-water.co.uk,generic,verified,Medium,108,paid_later,0.00%,0.20%,Requirement checks for water compliance bids,Education and schools water compliance content,absolute-water.co.uk/watercompliance-education; absolute-water.co.uk/contactus
L-0364,KD Asbestos Services,info@kddaa.co.uk,generic,verified,Medium,108,paid_later,0.00%,0.20%,Faster first read on asbestos surveys and removal tenders,School asbestos management content and ARCA membership,kdasbestos.co.uk/asbestos-in-schools; kdasbestos.co.uk/contact-us
L-0378,DLP Services (Northern) Ltd,info@dlpservices.com,generic,verified,Medium,108,paid_later,0.00%,0.20%,Bidframe for responsive repairs and voids tender reviews,"Fusion21 reactive repairs, empty buildings and repairs framework supplier",dlpservices.com/contact-us; fusion21.co.uk/frameworks-reactive-repairs-maintenance
L-0380,TG Escapes,info@tgescapes.co.uk,generic,verified,Medium,108,paid_later,0.00%,0.20%,Requirement checks for modular classrooms and SEND buildings bids,"Pagabo DPS / Small Works, UK Leisure Framework and school modular proof",educationdab.co.uk/tg-escapes-to-provide-10-classroom-modular-building; paf-media.co.uk/the-sports-pavilion-reimagined-tg-escapes-modular
L-0187,Acorn Analytical Services,info@acorn-as.com,domain,verified,Medium,106,paid_later,0.00%,0.20%,Faster first read on asbestos surveying tenders,"public-sector clients and local councils for asbestos consultancy, surveys and removals",https://www.acorn-as.com/meet-the-team/; https://www.acorn-as.com/contact-us/; https://www.acorn-as.com/testimonials/; https://uk.linkedin.com/company/acorn-analytical-services
L-0137,Chatter Independent SLT,chatterslt@gmail.com,gmail,verified,Medium,104,paid_later,0.00%,0.20%,Requirement checks for slt bids,school/nursery SLT contracts (+ EHCP),https://chatterslt.co.uk
L-0389,Switchshop,sales@switchshop.co.uk,team,verified,Medium,104,paid_later,0.00%,0.20%,Requirement checks for public-sector networking and cyber bids,"Everything ICT, Jisc Network Equipment Framework and NHS SBS/CCS routes",switchshop.co.uk/frameworks/everything-ict
L-0395,UKIM Occupational Health & Wellbeing,wellbeing@ukim-oh.com,team,verified,Medium,104,paid_later,0.00%,0.20%,Requirement checks for occupational health and wellbeing bids,NHS Workforce Alliance RM6386 supplier,ukim-oh.com/contact/for-our-suppliers; noecpc.nhs.uk/contracts/nhs-workforce-alliance-occupational-health-employee-assistance-and-eye-care-rm6386
L-0122,Fair Futures CIC,fairfutures@outlook.com,other,verified,Medium,103,paid_later,0.00%,0.20%,Requirement checks for send-ap bids,LA alternative-provision / SEMH framework contracts,https://fairfuturescic.org/about-5-1
L-0324,PBF Drainage Services Ltd,sales@pbfdrainage.co.uk,team,verified,Medium,102,paid_later,0.00%,0.20%,Bidframe for drainage tender reviews,"Sewerage, CCTV survey, jetting and relining services align with public-estate maintenance tenders",pbfdrainage.co.uk/contact; Companies House SIC
L-0350,Sync Living,thehub@syncliving.co.uk,team,verified,Medium,102,paid_later,0.00%,0.20%,Requirement checks for mobility and home adaptations bids,"Disabled adaptations, showers and mobility goods award notice signal",syncliving.co.uk; etendersni.gov.uk award notice documentId=5423410
L-0111,Yes Chef Catering,yeschefcatering@tiscali.co.uk,other,verified,Medium,101,paid_later,0.00%,0.20%,Bidframe for catering tender reviews,state school meals contracts,https://yeschefcateringltd.co.uk
L-0118,AWO Recycling,enquiries@aworecycling.co.uk,domain,verified,Medium,100,paid_later,0.00%,0.20%,Faster first read on waste tenders,commercial/public-sector waste (subcontracts to Amey),https://aworecycling.co.uk
L-0133,Educational Potential,enquiries@educationalpotential.co.uk,domain,verified,Medium,100,paid_later,0.00%,0.20%,Faster first read on ed-psych tenders,school/LA EHCP educational-psychology assessments,https://educationalpotential.co.uk/ed-psych
L-0135,Kids' Therapy Works,info@kidstherapy.works,domain,verified,Medium,100,paid_later,0.00%,0.20%,Bidframe for ot-slt tender reviews,school/LA OT+SLT + EHCP assessment contracts,https://kidstherapy.works/ehcp-assessments
L-0139,The Children's Physio,info@thechildrensphysio.com,domain,verified,Medium,100,paid_later,0.00%,0.20%,Faster first read on physio tenders,school/LA paediatric physio + EHCP contracts,https://thechildrensphysio.com/services-and-fees
